title,price,link
"Duo Birthstone Dome Ring by Caitlyn Minimalist • Chunky Silver Gemstone Ring • Custom Toi et Moi Ring • Personalized Gift for Her • RM211","65.28","https://www.etsy.com/sg-en/listing/4482613425/duo-birthstone-dome-ring-by-caitlyn?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT34c292ec26ffdf9bdcf6193856fe7b5c7466adff&click_sum=66850a62&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010348-1-1&sr_prefetch=1&pf_from=search&pop=1&sts=1"
"Handmade Oxidized Sterling Silver Bird Signet Ring – Nature Jewelry","228.93","https://www.etsy.com/sg-en/listing/1829968575/handmade-oxidized-sterling-silver-bird?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT31ededdbdcdef6f8a3b19858c264b9e0eba215d0&click_sum=ef206cf5&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010348-1-2&sr_prefetch=1&pf_from=search&pro=1&sts=1"
"Handmade Rustic Sterling Silver Ring: Organic Texture Band","131.87","https://www.etsy.com/sg-en/listing/4304299874/handmade-rustic-sterling-silver-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT92518e834dce6fb381746988f27d2e6a5fcb6b62&click_sum=8d44cbfb&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010348-1-3&sr_prefetch=1&pf_from=search&pro=1&bes=1&cns=1"
"Liquid Silver Ring, Melted Metal Ring, Wavy Shape Band, Curved Solid Sterling Silver Ring, Organic Form.","110.43","https://www.etsy.com/sg-en/listing/1867606802/liquid-silver-ring-melted-metal-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALTc12587cd7c7b547b5a13d786772eb79416e02628&click_sum=5ad26e4b&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010348-1-4&sr_prefetch=1&pf_from=search&frs=1&cns=1&sts=1"
"Handmade Hammered 925 Sterling Silver Ring: Unisex Rustic Band","14.51","https://www.etsy.com/sg-en/listing/4474466397/handmade-hammered-925-sterling-silver?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT7662f6869252347b41f8d34e3a9b815a8718bfdc&click_sum=a3ffe47f&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010349-1-1&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT7662f6869252347b41f8d34e3a9b815a8718bfdc"
"Oval Aquamarine Ring: Simple 925 Sterling Silver Band","20.02","https://www.etsy.com/sg-en/listing/1333317384/oval-aquamarine-ring-simple-925-sterling?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT807d3266cf01e576c81d0f3edff4952f349738f9&click_sum=9a81e566&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010349-1-2&sr_prefetch=1&pf_from=search&pro=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT807d3266cf01e576c81d0f3edff4952f349738f9"
"925 Sterling Silver Dome Wedding Band, Minimalist Stacking Ring, Comfort Fit (2mm-9mm)","17.03","https://www.etsy.com/sg-en/listing/4468106019/925-sterling-silver-wedding-band-classic?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT736633939c9a2cde826e78ddf6747390e20dc44c&click_sum=079398e9&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010349-1-3&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT736633939c9a2cde826e78ddf6747390e20dc44c"
"Y2K Star Ring Set | Irregular Silver Rings Adjustable Stacking Rings | Geometric Statement Jewelry | Celestial Star Ring | Gift for Her","29.40","https://www.etsy.com/sg-en/listing/4481898334/y2k-star-ring-set-irregular-silver-rings?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT9206f1f7abbc6db20744dc5840aba9ae53e5377d&click_sum=26a57c4a&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010349-1-4&sr_prefetch=1&pf_from=search&pro=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT9206f1f7abbc6db20744dc5840aba9ae53e5377d"
"Abalone Shell Inlay Ring • Sterling Silver Stackable Band • Mother of Pearl Ring","51.56","https://www.etsy.com/sg-en/listing/4400390718/abalone-shell-inlay-ring-sterling-silver?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTbabce9e22ce3201b16a2806b472b992b523957e4&click_sum=62144cae&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010349-1-5&sr_prefetch=1&pf_from=search&pop=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTbabce9e22ce3201b16a2806b472b992b523957e4"
"Plain Silver Rings | 925 Stamped | Engravable Rings | Women's Signet Ring | Custom Birth flower Zodiac Engraved Ring","43.64","https://www.etsy.com/sg-en/listing/4384152533/plain-silver-rings-925-stamped?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT2e83ddb7d7436a1a459b69f4f3d0ec93194709aa&click_sum=e693f2a8&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-1010349-1-6&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT2e83ddb7d7436a1a459b69f4f3d0ec93194709aa"
